月份,行业,新增数量
201512,居民服务、修理和其他服务业,2328
201511,居民服务、修理和其他服务业,1978
201510,居民服务、修理和其他服务业,1483
201509,居民服务、修理和其他服务业,2019
201508,居民服务、修理和其他服务业,1823
201507,居民服务、修理和其他服务业,2196
201506,居民服务、修理和其他服务业,1832
201505,居民服务、修理和其他服务业,1764
201504,居民服务、修理和其他服务业,1859
201503,居民服务、修理和其他服务业,1506
201502,居民服务、修理和其他服务业,1031
201501,居民服务、修理和其他服务业,1573
201412,居民服务、修理和其他服务业,1879
201411,居民服务、修理和其他服务业,1699
201410,居民服务、修理和其他服务业,1435
201409,居民服务、修理和其他服务业,1751
201408,居民服务、修理和其他服务业,1707
201407,居民服务、修理和其他服务业,1942
201406,居民服务、修理和其他服务业,1866
201405,居民服务、修理和其他服务业,1528
201404,居民服务、修理和其他服务业,1457
201403,居民服务、修理和其他服务业,1282
201402,居民服务、修理和其他服务业,803
201401,居民服务、修理和其他服务业,1258
201312,居民服务、修理和其他服务业,1332
201311,居民服务、修理和其他服务业,1318
201310,居民服务、修理和其他服务业,1131
201309,居民服务、修理和其他服务业,1142
201308,居民服务、修理和其他服务业,1021
201307,居民服务、修理和其他服务业,1032
201306,居民服务、修理和其他服务业,717
201305,居民服务、修理和其他服务业,600
201304,居民服务、修理和其他服务业,669
201303,居民服务、修理和其他服务业,597
201302,居民服务、修理和其他服务业,199
201301,居民服务、修理和其他服务业,455
201212,居民服务、修理和其他服务业,393
201211,居民服务、修理和其他服务业,424
201210,居民服务、修理和其他服务业,285
201209,居民服务、修理和其他服务业,455
201208,居民服务、修理和其他服务业,477
201207,居民服务、修理和其他服务业,462
201206,居民服务、修理和其他服务业,470
201205,居民服务、修理和其他服务业,523
201204,居民服务、修理和其他服务业,441
201203,居民服务、修理和其他服务业,507
201202,居民服务、修理和其他服务业,293
201201,居民服务、修理和其他服务业,237
201112,居民服务、修理和其他服务业,424
201111,居民服务、修理和其他服务业,450
201110,居民服务、修理和其他服务业,309
201109,居民服务、修理和其他服务业,394
201108,居民服务、修理和其他服务业,494
201107,居民服务、修理和其他服务业,447
201106,居民服务、修理和其他服务业,518
201105,居民服务、修理和其他服务业,456
201104,居民服务、修理和其他服务业,502
201103,居民服务、修理和其他服务业,405
201102,居民服务、修理和其他服务业,139
201101,居民服务、修理和其他服务业,389
201012,居民服务、修理和其他服务业,408
201011,居民服务、修理和其他服务业,397
201010,居民服务、修理和其他服务业,261
201009,居民服务、修理和其他服务业,389
201008,居民服务、修理和其他服务业,376
201007,居民服务、修理和其他服务业,428
201006,居民服务、修理和其他服务业,425
201005,居民服务、修理和其他服务业,349
201004,居民服务、修理和其他服务业,431
201003,居民服务、修理和其他服务业,381
201002,居民服务、修理和其他服务业,214
201001,居民服务、修理和其他服务业,359
201709,科学研究和技术服务业,1236
